ra,dec,redshift,extinction_r
122.61929,16.198529,0.3805797,0.1561122
117.51724,24.53988,0.495946,0.1560648
118.07856,23.357483,0.5450718,0.1560609
118.14408,22.692204,0.4029274,0.1560317
119.91408,21.359176,0.4244451,0.1560229
122.79046,16.225087,0.4136485,0.1559731
137.74162,10.158005,0.5362353,0.155971
117.38669,24.350395,0.4035923,0.1559505
119.44613,21.961395,0.4315585,0.1558989
130.03173,13.334748,0.3451661,0.1558894
130.6914,12.232686,0.5480513,0.1558404
119.33515,23.589966,0.5733022,0.1558375
133.80158,14.798568,0.4809465,0.155833
116.56187,22.29949,0.465526,0.1558322
145.01058,13.92149,0.411819,0.1558195
139.10366,22.601879,0.5227909,0.155807
112.49582,24.382391,0.5703264,0.1557491
115.9436,21.036812,0.4391818,0.1557064
118.06896,23.828007,0.4090622,0.1557012
117.86226,23.863904,0.3945505,0.1556834
118.0067,23.833913,0.4105314,0.1556522
118.11322,22.739758,0.3037477,0.1556308
117.82313,23.170747,0.5503764,0.1555864
117.59182,23.073175,0.4574765,0.1554973
121.94313,17.579551,0.4543104,0.1554377
118.70445,21.271412,0.3470525,0.1553898
117.66843,23.145763,0.5012922,0.1553896
118.05695,22.949942,0.4866998,0.1553667
118.02394,23.350054,0.5026381,0.1553536
120.6013,22.183127,0.3239212,0.1553316
117.44221,23.365631,0.4850025,0.1553182
117.93626,23.277986,0.5010913,0.1552907
118.99929,23.835205,0.5480844,0.1552719
119.72049,23.078328,0.4143995,0.1552575
117.32017,24.442343,0.3905404,0.1552493
115.90008,19.957135,0.56348,0.1552447
117.94095,22.873943,0.3023609,0.1552251
117.96055,23.295625,0.5788517,0.1552107
135.31991,14.75795,0.4908743,0.1551791
133.80603,14.864809,0.4811397,0.1550925
117.35528,24.816287,0.332169,0.1550794
118.49423,22.522359,0.4753574,0.1550789
139.10126,22.642131,0.4800064,0.1550786
131.23562,10.370999,0.4515474,0.1550299
130.55163,12.411185,0.3748336,0.1550219
118.16046,22.67186,0.4012671,0.1549888
145.17267,13.896107,0.376432,0.1549336
139.09545,22.588385,0.4971231,0.1549139
128.37985,13.227576,0.5680381,0.1548946
139.42999,23.171284,0.334496,0.1548648
117.54237,22.333158,0.4001442,0.154863
122.97856,17.242988,0.4494442,0.1548562
112.55554,24.395291,0.5712445,0.1548332
117.7792,23.119679,0.4863609,0.154827
118.08433,23.783185,0.5386016,0.1548247
118.23337,24.571093,0.5970125,0.1547932
118.12388,22.622721,0.5706309,0.1547926
117.82408,22.113994,0.4472093,0.154768
117.73168,21.311197,0.3203257,0.1547305
117.98752,22.321158,0.3909053,0.1547164
137.79124,13.877761,0.4565071,0.1547046
145.17282,13.904302,0.3740602,0.1546994
118.24642,24.267709,0.5531171,0.154687
117.48833,23.298364,0.4031337,0.1546622
117.86852,23.858139,0.3946021,0.1546334
118.89743,20.892165,0.369171,0.1546112
118.0251,22.462092,0.4854516,0.15461
137.59887,10.105575,0.3402582,0.1545345
133.81821,14.846936,0.4875754,0.1544775
120.08479,22.42825,0.492116,0.1544549
117.73893,21.293112,0.3320382,0.154433
119.24671,23.621668,0.5520915,0.1543385
139.10544,22.680583,0.3972439,0.1543193
119.75057,21.263041,0.574482,0.1543054
118.31549,22.376834,0.4769343,0.1542691
117.6461,23.112385,0.501272,0.1542671
120.88706,22.176559,0.3831759,0.1542341
130.73587,12.560637,0.3382493,0.1542037
119.74485,21.089116,0.3743063,0.1541978
120.07898,22.408843,0.4345928,0.1541954
137.66143,10.264926,0.4743452,0.1541654
119.39737,23.498851,0.4142236,0.1541248
112.41815,24.340785,0.4376499,0.1541222
118.67504,21.254076,0.3486054,0.1540885
128.37986,13.208178,0.3222181,0.1540845
118.81588,21.708281,0.5674761,0.154078
115.69633,21.255298,0.5765457,0.1540342
119.13543,20.700922,0.5095605,0.153936
119.19811,21.762488,0.5056438,0.1539314
130.88675,12.107829,0.5960503,0.1539108
118.49055,22.545325,0.5100579,0.1538747
136.97212,13.42005,0.5381075,0.1538396
120.63218,22.492535,0.3468821,0.1538089
120.713,22.028969,0.5352666,0.1537447
137.60507,10.046623,0.5327362,0.1537447
117.87421,23.167608,0.3985271,0.1537407
118.61798,24.803733,0.5802926,0.1537236
139.22249,22.488972,0.523937,0.1537231
130.8833,10.258272,0.407528,0.1537196
136.97067,11.338103,0.310349,0.1536997
130.36437,12.485923,0.3355364,0.1536974
118.70822,21.600373,0.3506416,0.1536608
137.61288,13.794001,0.5995047,0.1536487
139.09572,18.906821,0.3759422,0.153637
117.62922,23.147137,0.5016695,0.1536269
124.28444,22.943088,0.5649747,0.1536235
122.67183,16.416101,0.5430343,0.1535543
117.99534,23.189551,0.489503,0.153548
119.19085,23.842612,0.4577938,0.1535364
131.24702,10.396422,0.4547226,0.1535139
117.23352,24.832659,0.3174538,0.1534919
117.94862,23.218424,0.3025415,0.1534698
119.67946,23.264911,0.4723724,0.1534642
120.45831,22.784591,0.4976778,0.1534301
116.26965,20.018382,0.4887017,0.1534239
139.16114,22.758911,0.4824474,0.1533954
139.20607,22.658578,0.5234294,0.1533763
117.87918,23.165566,0.504443,0.153355
117.4669,23.315932,0.5547513,0.153326
119.68463,22.856567,0.5748392,0.1532955
119.74446,23.329838,0.3494881,0.1532654
117.03645,24.410904,0.5893648,0.1532548
117.98537,23.215501,0.4843964,0.1532391
128.12148,13.184195,0.5866585,0.1532144
117.96992,23.186814,0.4897417,0.1532105
122.57312,16.524536,0.5597192,0.1531948
118.13523,22.607125,0.5049269,0.1531586
117.58037,23.166299,0.5552423,0.1530973
139.2351,22.535711,0.4094138,0.153057
120.88962,21.778455,0.5874776,0.153056
133.82652,14.840646,0.4831566,0.1530486
119.05045,24.891738,0.4859747,0.1530215
130.91903,10.184229,0.5572357,0.1530107
135.3113,14.833181,0.5634262,0.1529931
130.88755,12.572727,0.3468384,0.1529928
118.41017,22.392909,0.4744588,0.1529838
120.91413,22.155963,0.3642443,0.1529737
118.61532,23.818737,0.4208775,0.1529694
131.39565,10.412481,0.4545563,0.1529575
118.17908,22.352691,0.4411428,0.1529078
117.64188,17.85947,0.4499141,0.1529045
117.49665,23.237451,0.555162,0.152887
114.50299,24.64397,0.361982,0.1528598
118.48914,24.148646,0.3439565,0.1528516
116.03486,19.993757,0.4726115,0.1528423
123.07732,16.597999,0.5622838,0.1528421
139.19995,22.457636,0.5234299,0.1528319
116.12386,19.92666,0.5952212,0.152796
117.93902,22.265701,0.5505258,0.15279
112.48202,24.404795,0.3184512,0.1527854
119.28838,23.715902,0.351753,0.1527244
117.94523,23.162203,0.4395828,0.1526981
122.82707,16.371201,0.4185019,0.1526977
119.24046,23.606902,0.349984,0.1526625
117.75905,21.281256,0.5839331,0.1526378
118.22532,22.478096,0.4152813,0.1525882
118.10418,22.36588,0.497904,0.1525794
117.51281,23.199288,0.5732812,0.1525364
118.19814,23.3672,0.4892024,0.1525205
117.37196,24.307158,0.3531983,0.1524922
121.57019,17.265155,0.3154391,0.1524458
130.52258,12.215967,0.5031499,0.1524101
120.08166,22.450041,0.4966509,0.1524025
120.8984,22.123377,0.3604942,0.1523886
119.99,22.238998,0.5701133,0.1523688
118.68903,21.850686,0.598966,0.1523543
115.72028,21.295485,0.5829523,0.1523527
118.51127,22.536913,0.5108096,0.1523522
117.47728,23.100111,0.5553268,0.1523419
117.42517,23.353261,0.4823658,0.1523359
116.53633,22.290663,0.3446616,0.1522722
121.19103,21.392078,0.4813337,0.1522412
130.67537,12.364008,0.5943743,0.1522065
118.65143,21.240298,0.346227,0.1521908
117.86216,21.009018,0.3960572,0.1521831
128.18037,13.331845,0.5777065,0.1521383
139.21527,22.797832,0.4285916,0.1521198
118.72617,21.536791,0.4878089,0.1521083
119.27819,23.586515,0.3886285,0.1521006
117.4441,23.095436,0.5576098,0.1520962
120.93089,22.167171,0.3824067,0.1520811
118.11729,23.121688,0.4322753,0.1520805
119.26012,23.594678,0.39194,0.1520732
118.51691,24.782014,0.5834283,0.1519752
126.03175,11.912423,0.438961,0.1519709
118.6154,20.970776,0.3680291,0.1519701
139.2017,22.778307,0.5236526,0.1519229
131.18183,10.422028,0.3004024,0.1519211
115.54637,20.686023,0.4957106,0.1518915
117.84113,23.129079,0.4003975,0.1518786
